Q,A
 국회의원 인상 반대,정치개혁
 국회의원 세비,정치개혁
 국회의원 세비 인상 반대 국민 봉사 직 최저 금제 통일,정치개혁
 국회의원 세비 인상 국민 배신,정치개혁
 국회의원 명예 직 전환,정치개혁
 국회의원 급여,정치개혁
 국회의원 셀프 봉인 전 것,정치개혁
 국회의원 세비 국민 참여 방식,정치개혁
 세비 인상,정치개혁
 국회의원 세비 인상 절대로 동결,정치개혁
 극혐 찍 증오 극치 한국 수치 이 질 문화 개고기 문화 학살 및 도살 도대체 언제 겁,반려동물
 국회법 국민투표 결정 해 국회의원 자신 세비 국회의원 수 등 결정 것 이치,정치개혁
 국회의원 연봉 말입 더 인상 고여,정치개혁
 시각장애인 위 횡단보도,교통_건축_국토
 국회의원 세비 인상,정치개혁
 개 도살 폐쇄,반려동물
 양육비 안주 아빠 아동학대,보건복지
 수신료 납부 거부,문화_예술_체육_언론
 서울 시립대 학교 성범죄 조작 사건 무고죄 엄벌 적용,인권_성평등
 부산 오거돈 시장님 어린이집 운영 시간 다시 생각,육아_교육
 국회의원 수 줄 특혜 법,정치개혁
 국회의원 셀프 세비 인상 찬성 국회의원 공개,정치개혁
 국회의원 세비 철회,정치개혁
 국회의원 봉인 중단 국민 이름 명,정치개혁
 국회 위원 봉인,정치개혁
 국회 세비 인상 철회 대국민 사과 무 노동 무 임금 원칙,정치개혁
 발달장애 자녀 부모 자녀 휴가 발달 애인 생애,보건복지
 삼성 전자 서비스 협력 회사 직원 직접 용의 피해자,인권_성평등
 국회의원 수 줄 월급,정치개혁
 국 개원 월급 셀프 인상,인권_성평등
 여성가족부 폭주,정치개혁
 국민 세금 예산 더 이상 방법 사용 군내 부조리 귀 세,외교_통일_국방
 전 국회의원 연봉 이하 삭감 법률 안 발의,정치개혁
 하루 만해 평생 국회의원 연금 폐지,정치개혁
 국회의원 연봉 셀프 인상 한마디 것 국가 부리 것 국회 해산 청원,정치개혁
 국회의원 수 줄 국민 참여 정치 실현,정치개혁
 대통령 선거 인 표 총장 선거 인 표 선거권 대한 인권 침해,육아_교육
 안양시청 재건축 재개발 조합 변경 관련 민원 핑계 행정 발생 것 청원,행정
 참고인 검증 사람 과정 참여 허위 보고서 작성 피해자 피의자 위치 경찰 검찰,인권_성평등
 아들 중증 자폐 엄마 존속살인,보건복지
 소방 공무원 국가 직 전환 법안 통과,일자리
 경찰 아기,육아_교육
 수신료 폐지 청원,문화_예술_체육_언론
 국회의원 수 명 축소 청원 요청,정치개혁
 국회의원 월급 인상 말 얼마나 국민 위해 일,정치개혁
 국회의원 세비,정치개혁
 국회의원 세비 인상 반대,기타
 국회 의원 세비 인상 반대 의원 연금 폐지 선거 구제 개혁 반대 요청,정치개혁
 국회의원 세비 인상 반대,정치개혁
 국회의원 년 봉인 세비 인상,정치개혁
 국회의원 세비 최저임금 연동 제한,정치개혁
 국회의원 세비 최저 시급 지급,정치개혁
 국회의원 세비 최저임금,정치개혁
 여군 예비군 선택 필수,외교_통일_국방
 김정은 답방 반대,외교_통일_국방
 김제동 출연 중지,정치개혁
 게 입 바이오 직스 재상,경제민주화
 불공정 기업 편의점 가맹 본부 직원 청와대 국회 청원,기타
 엄마 살,기타
 예비 쌍둥이 아빠 쌍둥이 태아 보험 수가,저출산_고령화대책
 대구 사립 영남 공업고등학교 이사장 관리자 대한 처벌 청원,육아_교육
 코레일 강릉 소상 공인 생계 시민 생존권 위협 강릉역 개발 계획 즉각 중단,인권_성평등
 여성폭력 방지법 남성혐오 남성 차별 법안 자체 위 이기 때문 폐지 촉구 법 자체 수정과 개정 것 청원,정치개혁
 바이오 직스 회계부정 대한 검 수사 요청,경제민주화
 면세점 판매 면세 화장품 국내 대량 반입 재판매 탈세 불법행위 엄벌,경제민주화
 제주도 영리병원 허가 취소 청원,보건복지
 삼바 직스 상장폐지 상장 유지 니요,경제민주화
 중 세계 위 한국 국회의원 연봉 삭감 청원,정치개혁
 영동대교 북단 음주운전 사망 사고 가해자 강력 처벌 수,안전_환경
 기광 주삼동 초등학교 학년 새아버지 아동 성폭행 얼굴 공개 성폭행 처벌 강화,안전_환경
 전국 특수 교육지원청 청각장애 전문가 배치,육아_교육
 제주도 영리병원 반대 의료 민영화 첫걸음,보건복지
 이 땅 사법살인 제 마지막 이기,인권_성평등
 장애인 문화 예술인 장애인 문화원 감사 하라,문화_예술_체육_언론
 전 국회의원 연봉 이하 삭감 법률 안 발의,정치개혁
 국회의원 세비 인상 반대,정치개혁
 국회의원 세비 인상 말 도안,미래
 국회의원 과제 도입 국민 참여 기관,정치개혁
 천안 무 중학교 학교폭력 피해 학생 허위 문서 가해자,인권_성평등
 국회의원 세비 삭감,기타
 국회의원 세비 삭감,정치개혁
 한국 국회의원 은근 세비 인상 반대,행정
 화성시 화장 설치 철회,행정
 상장 유지 결정 시장 기업 바이오 직스 대한 상장폐지 청원,경제민주화
 지역 센터,보건복지
 전북대학교 입학사정관 입시 결과 유출 규탄,육아_교육
 삼성 바이오 직스 상장 유지 이건 사기,경제민주화
 갈수록 보이스피싱 범죄 대책 마련,기타
 저 고 김현웅 외삼촌 이일 어찌 요,교통_건축_국토
 오영식 사장 사표 반려,교통_건축_국토
 검찰 경찰 애국 서울 남북정상회담 테러 선동 처벌,외교_통일_국방
 위법 자행 영암 해남 기업 도시 유수 매립 부분 관 완료 처분 철회 시오,교통_건축_국토
 의원 외교 예산 삭감,정치개혁
 국회의원 셀프 세비 인상 철회,정치개혁
 코레일 오영식 사장 사퇴,교통_건축_국토
 착공 신안산선 내년 착공 국토부 장관 규탄,교통_건축_국토
 삼성 바이오 상장 유지 건의 재심사 요청,미래
 넷마블 공매도 주가 하락,기타
 치어리더 성추행 관련 스포츠 경기 치어리더,문화_예술_체육_언론
 사회 복무 요원 장기 대기 관 해결 책 마련 시오,외교_통일_국방
 부산 조정 대상 지역 해제 요청,정치개혁
 한강 난 파크 로 리 모델링 반대,문화_예술_체육_언론
 한번 실수 번은 계획 낭비 혈세,행정
 부산 시장님 저 보육 교사 누구 위 정책,육아_교육
 국가 임용 고시 채점 기준 답안 공개 관련 법안 개정,육아_교육
 제 친구 목숨 음주운전 처벌,인권_성평등
 보험사 보험 살인 호소,보건복지
 정부 탈 원전 정책 반대,미래
 코레일 한국 철도 시설 공단 통합 통합 연구 용역 기한 연장 취소 촉구,교통_건축_국토
 주택 보증 공사 대구 수성 의 분양 현실 합리 책정 시기,교통_건축_국토
 바이오 직스 상장 유지 결정 나라 공화국 한국 거래소 당신 직원,경제민주화
 성인 성인 컨텐츠 소비 권리 보장,인권_성평등
 사회 복무 요원 공익 제도 청원,외교_통일_국방
 유치원 초 중고 학부모 회 설치 유아교육법 개정 시오,육아_교육
 개발자 죽음,미래
 국회의원 연봉 인하,정치개혁
 국회의원 명,정치개혁
 아이돌 봄 선생님 하루 종일 분,육아_교육
 방송 편파 방송 수신료 즉시 폐지,문화_예술_체육_언론
 골수 섬유 증 병 아내 위해 글,보건복지
 부산 산부인과 늦 대처 둘째 아이,보건복지
 동탄 교통 지옥 해결,교통_건축_국토
 사립 유치원 교원 출산 및 육아휴직,육아_교육
 용인시 공무원 부정부패 조사 요청,인권_성평등
 민주당 이해찬 대표 사퇴,정치개혁
 민주당 이해찬 대표 퇴진 및 도부 사퇴 요구,정치개혁
 인천공항 공사 아웃소싱 용역 업체 최저 시급 이하 지급 문제점,일자리
 개인 택시 강제 부제 해제,교통_건축_국토
 치어리더 폐지,인권_성평등
 폭행 폭언 사망 구급대원 위험 직무 순직 청원,행정
 포스코 해임 노동자 복직 요구,일자리
 포스코 해고 노동자 복직 부당 노동 행위 대한 특별 감독 요청,일자리
 노선 신설 요청,교통_건축_국토
 수도권 균형발전 위해 노선 신설 청원,교통_건축_국토
 동대문구 용두 구역 분양 제 전수 조사,교통_건축_국토
 티비 수신료 거부,행정
 연탄 금 좀,기타
 하루아침 수십 억대 횡령 범,인권_성평등
 대형 병원 과잉 진료 후 척추골절,보건복지
 서민 금융기관 선거법 위반 세상 일이,기타
 서울 중고 교 서술 수행평가 확대 반대 및 조희연 교육감 사퇴,육아_교육
 한국 거래소 수사,행정
 김 재동 방송 보고 시청료 강제징수 거부,문화_예술_체육_언론
 각성 수신료 거부,일자리
 의 일방 해고 통보 반대,기타
 수신료 폐지,정치개혁
 시청료 거부,외교_통일_국방
 김제동 누구 에나 건 데 누구,행정
 난임 부부 횟수 제한 나이 제한,저출산_고령화대책
 수수료 폐지,행정
 사장 해임 및 수신료 납부 취소,정치개혁
 우리 거북이 아이 미래 부디,육아_교육
 대체 군 복무 군법무관 실생활,기타
 저 음주 교통사고 피해자,인권_성평등
 공공기관 정규직 전환 때문 생계 위협,일자리
 방송 시청료 전기요금 분리 징수,문화_예술_체육_언론
 난임 부부 정부 지원 대한 청원,저출산_고령화대책
 우리 아이 통학로,육아_교육
 미성년 면허 취득 제한,교통_건축_국토
 지역 아동 센터,보건복지
 탈 원전 반대 및 한울 호기 건설 재개 범 국민 서명 운동,미래
 방송 전혀 강제 수신료 징수 말,경제민주화
 수신료 납부 거부,기타
 수신료 반납 페지 하라 읍니,행정
 의 수신료 징수 대하,행정
 빨갱이 방송 수신료 징수 중지 요청,행정
 시청료 거부,기타
 회사 산재 처리 심사평 위원회 거부,보건복지
 교원 평가 면 평가 방식 폭력,육아_교육
 경기도 교육청 교육 시설 관리 센터 확대 전면 재 검토,육아_교육
 독재정 문재인 대통령 탄핵,정치개혁
 금일 머니투데이 김 사무엘기 기사 사업 부족 타 면제 마지막 희망 대한 사실관계 규명 및 해당 처벌 요청,교통_건축_국토
 서울 시립대 무고 사건,인권_성평등
 남성 차별금지법 정현남 법 제정 요구,인권_성평등
 거래소 잣,경제민주화
 공매도 우리 증권 거래소 시장 방관 말,경제민주화
 아이돌 보미 시간제 선생님 저희 아이,육아_교육
 우리 가족 아동학대,육아_교육
 여가부 앞 사진전 이제 여가부 답,인권_성평등
 전세버스 협동조합,교통_건축_국토
 은평 광역 순환 센터 백지,안전_환경
 자녀 양육 부담 모든 것 부모 몫 비용 맞벌이 부모,육아_교육
 재산 사기죄 형량 강화 및 부동산 분양 법적 보호 장치 마련 청원,안전_환경
 통영시 소아 응급실 개선,보건복지
 지금 계속 병원 의료 재단 대한 공격 호소,행정
 탈 원전 정책 포기 및 원전 건설 재개 범 국민 서명 운동,미래
 수원 호 매실 신분당선 조기 착공,교통_건축_국토
 서울 시립대 기초 생활 수급 사회 약자 무고죄 악용 집단 린치 사건 진상 규명 처리 촉구,인권_성평등
 가락 아파트 재건축 비리 의혹,교통_건축_국토
 차량 차례 살인 미수 꼭 엄벌 수,인권_성평등
 재정 사업 추진 요청,미래
 제발 한번 피 토 심정,반려동물
 현대 기아 자동차 엔진 리콜 국토부 재 조사 요청,교통_건축_국토
 연동제 반대,정치개혁
 진주 아파트 중대 하자 보수 미결 건 청원,교통_건축_국토
 연동 비례대표제 포함 경우 리도 국회의원 수 것 반대,정치개혁
 삼바 경남 제약 세상 유전 무죄 무전 유죄,경제민주화
 거래소 비리 뿌리 개혁,경제민주화
 한국 증권 거래소 비리 엄벌,행정
 초등 교실 방학 겨울 여름 안정 운영,육아_교육
 대표 단 관리 단 갑질,인권_성평등
 강소기업 경남 제약 상장폐지 반대,경제민주화
 대전 병원 의료 행태 사고 재발 마음 이 글,보건복지
 학교폭력 방치,육아_교육
 코스닥 상장 업체 대규모 사기꾼 집단 코스닥 업체 하나 하나 강제 폐시 키 해결,성장동력
 캣맘 어머니 살해 위협 스토커 처벌,인권_성평등
 독감 선생님 수업,육아_교육
 사기 대포 통장 사법권 계좌 정지,행정
 자치 경찰 제 시행 경찰 직급 조정 및 공안 직 편입 요청 부제 승진 위 경찰 시민 위 경찰,행정
 분식회계 바이오 직스 분식회계 경남 제약 상장폐지 말,경제민주화
 경남 제약 상장폐지 절대,경제민주화
 국회의원 수 명 더 것 반대,정치개혁
 경남 제약 바이오 차별 거래소 폐지 청원,경제민주화
 신혼부부 특별 분양 신혼부부 디딤돌 대출,교통_건축_국토
 은평구 청장 구의회 독단 행정 은평구 살기 엄마,육아_교육
 형평성 경인 지역 개 대학 복수 학위 제 폐지,육아_교육
 동탄 신도시 버스 유지 감 차하,교통_건축_국토
 바이오 직스 비교 경남 제약 거래 정지 및 상장폐지 말,경제민주화
 경인 지역 대학 복수 학위 학생 교류 협약 체결 원천 무효,육아_교육
 국민 여러분 향토 기업 강소기업 경남 제약,경제민주화
 유은혜 교육부 장관 시설 관리 직렬 공무원 사실 노무 종사 공무원,육아_교육
 개 도살,반려동물
 어린이집 음성 녹음 의무 해,육아_교육
 서울 동작구 아이 학교 수 교육 환경,육아_교육
 소뇌 위축 증 시나 의료 보험 적용,보건복지
 박항서 감독 국민훈장 추서 베트남 명예 대사 임명 청원 최성 전 국회의원,행정
 우리 세금 내면 더블 어른 고통 아이 차별 맙시,육아_교육
 김정욱 목사 김 국기 목사 최 선교사 등 북한 억류 중인 대한민국 국민,외교_통일_국방
 에이스침대 본사 갑질 대리점 주의 사연,기타
 이재용 바이오 거래 재개 필부필 부의 경남 제약 상장폐지,경제민주화
 전국 병원 적폐,기타
 방송 쇼 토론 폐지 반대,문화_예술_체육_언론
 심석희 폭행 코치 중형 벌 시오,문화_예술_체육_언론
 살 여동생 멈쳐버리게 뻔 고강동 이자카야 장사 사장,인권_성평등
 피해 가족 요구 어린이집 문제 어린이집 간판 운영,육아_교육
 저희 인 근무,안전_환경
 면제,교통_건축_국토
 고령 난임 여성 기회,육아_교육
 경기도 김포 초등학교 집단 폭행 관 학폭위 처벌,육아_교육
 해외 일 국민 나라 난민 필리핀 공권력 무참 해외 근로자,외교_통일_국방
 보이스피싱 은행 나 라합,안전_환경
 범죄 사건 보도 때 경찰 언론 출신 국가 법적 의무 국민 알권리 자체 보호,행정
 완주군 둔산리 아이,안전_환경
 경남 제약 상장폐지 거래소 상급 기관 모두 처벌 청원,경제민주화
 포스코 및 동방 플랜 텍 하청 업체 추가 수정 사비 원 지급 조사 부도 직전 영세 하청 업체 시오,경제민주화
 자석 안전 밸트 착용 의무 취소,안전_환경
 에쓰오일 주 대우건설 다툼 개월 주지 하도급 사비 대기업 갑질 고발,경제민주화
 국민 검찰 응답,교통_건축_국토
 재범 코치 강력 처벌,인권_성평등
 우리 미래 좌우 네트워크 구축 감리 자체 감리 외부 감리 하자,기타
 북한 준 차관 대한 이자 및 원금 회수,외교_통일_국방
 철거 지역 범 박공 부방,보건복지
 대통령 국립 부경 대학 박사 과정 고질 차별 행위 금지,인권_성평등
 산업 보건 협회 노조 간부 여직원 폭행 폭언 사건,기타
 루게릭 환자 가족 희망 시오,보건복지
 임대 분양 전환 공약 이행 대해 대통령 직접 답변,교통_건축_국토
 임대 지원 방안 변경 요청,교통_건축_국토
 새마을 수원 어린이집 폐,육아_교육
 비정규직 임금,인권_성평등
 아이 어린이집 학대 어린이집 아동학대 피해 아동 구제,육아_교육
 서비스업 근무시간 조절,일자리
 서울대 고등학교 학생 취재,문화_예술_체육_언론
 차트 전 못 제 아들 수,인권_성평등
 약자 절실 함 정부 표방 정의 로움 호소,기타
 어린이집 조리사 처우 개선,보건복지
 사회 곳곳 폭력 대해 엄 제재 요구,인권_성평등
 조속 수사 청원,기타
 대한민국 국가대표 심석희 폭행 코치 처벌,기타
 사장 악질 갑질 노임 개월 체불,일자리
 거가대교 통행료 인하 시오,교통_건축_국토
 산란 일자 표기 반대,농산어촌
 팔 절단 고난 산재 처리,인권_성평등
 광양,안전_환경
 사단법인 서울 퀵서비스 사업자 협회 세무조사 불법 비리 운영 확인 후 사단법인 해산 요청,기타
 올리브영 사고 관련,기타
 후쿠시마 산 농 수산물 가공 식품 및 모든 제품 수입,안전_환경
 현직 교사 임용 관련 까페 특수 교사 운영 억대 영리 업무 및 겸직 신고,육아_교육
 부산 조정 지역 해제 요청,교통_건축_국토
 국민은행 외산 소프트웨어 특혜 대해 청원,일자리
 복지 신청 때 자동차 조건 현실 완화,보건복지
 근로기준법 위반 채용 공고 처벌 법안 입법,정치개혁
 동탄신도시 교통 망 확충 청원,교통_건축_국토
 대진 침대 이제 교환 중단,안전_환경
 인덕원 동탄 선의 인 입선 안전 열차 운영 치명 결함 안고 즉각 입증 최적 노선 설계 변경,교통_건축_국토
 대기업 아울렛,일자리
 육상 연맹 육상 선수,문화_예술_체육_언론
 유권 무죄 무 유죄,교통_건축_국토
 동안 수감 생활 중인 박근호 사면 청원,행정
 쇼트트랙 심석희 선수 폭행,안전_환경
 무분별 신도시 계획,행정
 플라스틱 염색 금지,안전_환경
 반려동물 입양 유기 한번,반려동물
 의료사 고로 여자친구,기타
 괴물 학종 폐지 정시 확대 해 시오,육아_교육
 남양주 교통 대책 요구 호선 요구,교통_건축_국토
 워마드 사이트 폐쇄,행정
 김태우 청와대 잘못,정치개혁
 인천 송도 국제 도시 출발 노선 예비 타당성 조사 면제,교통_건축_국토
 증증 발달장애 지정 병원 지정 특정 의료행위 보험 시기,보건복지
 대구 동구 병원 비도 덕비 양심 과잉 진료 의적 신체 상해 고통,기타
 노선 타 면제,교통_건축_국토
 정치 논란 휘 둘리 한전 고객 센터 노조 권한,일자리
 자유당 김성태 딸 불법 채용 사건 대해 국정조사 및 특검 요구,일자리
 고용노동부 왜 경남 제약 강소기업 지정,경제민주화
 국민 건강 보험 공단 성차별 건강 진단 적용 대상 개선,보건복지
 간호사 사람 답 살 수,보건복지
 거가대교 통행료 인하,교통_건축_국토
 국가 청소년 보호,육아_교육
 진선미 여가부 장관 해임,인권_성평등
 범죄자 집안 견미리 자녀 방송 퇴,정치개혁
 실업 육상경기 연맹 말 규정 반대,문화_예술_체육_언론
 경남 제약 바이오 직스 비교 경남 제약 상장 유지,경제민주화
 엄마 요양원 알,인권_성평등
 의 횡포 옹호 피해자 비프 렌 두 번 정거 위원회 고발,일자리
 연기금 투자 시 여성 대표 반영 추진 대한 반대,미래
 이번 파업 참여 택시 기사 엄중 처벌 요구,교통_건축_국토
 휴게소 충전 소 좀 건설,안전_환경
 지역 아동 센터 아동 구타 고발,육아_교육
 제 경남 제약 투자 죄인,경제민주화
 폭행 사건 경찰 강압 수사,행정
 여자 직급 사업 성차별 사업 및 노동법,인권_성평등
 갈등 심각,인권_성평등
 신병 수료식 교통사고,안전_환경
 의도 지역 불평등 해명 요청,교통_건축_국토
 군 입대 아들 면회 마치 귀가 중 교통사고 아들 군 제대,외교_통일_국방
 거가대교 통행료 인하,정치개혁
 상속 자격 상속인 상속,인권_성평등
 위탁 모 아동 학대 사건 아동 보호 기관 담당자 처벌,육아_교육
 신의 직장 한국전력 공사 비정규직 고객 센터,일자리
 이야기 아동학대 김 년,육아_교육
 박항서 감독 배신 한국 전문학교,기타
 유가족 김 이병 즉시 제대 신병 수료식 시간 면회 개선,외교_통일_국방
 자동차 보험 피 보험 손해 사정 선임 국민 다시 시오,교통_건축_국토
 얼굴 아가,보건복지
 아들 면회 후 귀가 가족 교통사고 병역면제,외교_통일_국방
 혼자 군인 아들,외교_통일_국방
 울산 유일 응급실 보람 병원 요양 병원 전환 반대 및 응급의료 대체 방안 마련 촉구,보건복지
 완도 제주 전력 망 사업 중 완도 변환 소 부지 선정 과정 불법 행위 및 한전 강행 의사 표,안전_환경
 클럽 경찰 집단 폭행 사건 대한 집중 수사 요청,인권_성평등
 무조건 죽 유기동물 안락사 안락사 대기 소인 유기동물 시보 호소 불법 번식 성폭행 학대 출산 먼저,반려동물
 의 야인시대 차 창작물 대한 탄압,문화_예술_체육_언론
 탄현 임대 철회,교통_건축_국토
 제 의 피시방 알바 살인 사건 주인공,안전_환경
 부산 대변 멸치 유자 망 협회 배선 주,농산어촌
 동네 개원 살 소아 청소년 전문의 진료,보건복지
 화천 교통사고 가족 김 이병 그냥 전역,외교_통일_국방
 정부 군가산점 도입 및 군 필자 대한 보상 마련 불합리 복무 제도 개선,외교_통일_국방
 직계 가족 등본 및 초본 열람 제한,인권_성평등
 주휴수당 폐지 실제 최저 시급,일자리
 재개발 지역 아이,육아_교육
 양육비 이행 관리원 독립시 켜,육아_교육
 신병 교육 후 면회 제도 개선,외교_통일_국방
 김 이병 전역,외교_통일_국방
 군 면회 참변 군 제대,외교_통일_국방
 아들 수료식 보고 가족 교통사고,외교_통일_국방
 공항 고성 김정호 의원 처벌,정치개혁
 보일러 확인 필증 제도 부활,안전_환경
 악덕 기업 우암 코퍼레이션 주로 부터 해외 일 못 돈,인권_성평등
 화천 신병 가족 교통사고,기타
 콜센터 내부 환경 개선,일자리
 소방관 방화 복 방화 복,안전_환경
 강남 지구대 경찰 집단 린치 사건 폭행,인권_성평등
 특수 학교 교실 의무,인권_성평등
 한국전력 고객 센터,일자리
 육군 사단 김 이병 가족 사고 관련 청원,기타
 민주당 초선 김정호 의원 공항 직원 신분증 달라 하자 새끼 책임자 소리 한자 제명 퇴 청원,정치개혁
 국회의원 김정호 항공사 직원 처벌 청원,정치개혁
 화천 면회 가족 교통사고 군인 전역 허락,외교_통일_국방
 아들 신병 훈련 수료 면회,안전_환경
 육군 사단 가족 교통사고 김 이병 전역,외교_통일_국방
 광주 교육대학 교가 정상화 수 청원,행정
 신병 수료식 후 귀가 길 교통사고 가족 김 이병 전역,외교_통일_국방
 화천 신병 교육 수료 후 귀가 길 가족 교통사고 정말 가슴,외교_통일_국방
 화천군 가족 참변 이등병 대한 지원 방안,행정
 흉 기차 외국 리콜 한국 무상 수리 합,교통_건축_국토
 거제 폭력 학생 거짓말 인터뷰 학교폭력 가해자 대한 합리 처벌 청원,육아_교육
 진도 만평 차이나타운 반대,외교_통일_국방
 방송 그것 알고싶다 등장 교장 사형 집행 청원,미래
 피해 학생 번 죽 오히려 자살 조장 허울 학교폭력 위원회 심각 고발,인권_성평등
 가족 신병 제대,보건복지
 트위치 스트리머 맨 가정 폭력 피해 대한 정밀 조사,인권_성평등
 간접흡연 비 흡연 자 피해 대한 해결 방안 청원,보건복지
 벤츠 급발진 레몬 법 시행 정부 역할,교통_건축_국토
 거제 폭력,인권_성평등
 소방관 경찰관 대우,보건복지
 소방관 월급 좀,기타
 그것 알 학교폭력 왜 마감,기타
 인공 관절 이유 의료사,보건복지
 모세 기적,교통_건축_국토
 소방관 처우 개선 요구,안전_환경
 태안 화 사고 이용 무분별 공공기관 정규직 반대,안전_환경
 인천 여중생 성폭행 자살 사건 관련 그것 알고싶다 방영,기타
 여러분 거제 폭력 학생 우리,육아_교육
 통운 택배 기사 수수료 지급,일자리
 소방 공무원 심사 승진 문제점,행정
 진도 차이나타운 건설,외교_통일_국방
 거제도 학생 폭행 그것 알고싶다,육아_교육
 김 병제,기타
 진도 차이나타운 건설 철회,외교_통일_국방
 거제 명의 폭력 가해자 엄벌,기타
 학교폭력 가해자 부모 처벌,인권_성평등
 거제 폭력 뻔 부모 이모 자식새끼,인권_성평등
 나이 방법 통일 관 시행 규칙 마련,행정
 시간 강사 법 꼼수 대학 재정 지원,육아_교육
 청와대 하명 사건 경찰 가짜 영장 칼춤 신음 중인 남편 꼭,인권_성평등
 길고양이 사체 마주 나라 제발 길고양이 또 티앤알 사업 위해 봉사 분 보호,반려동물
 신도 중학교 교장 선생님 퇴직,행정
 북선 상주 점촌 예천 노선 개악 기존 노선 더 배차,교통_건축_국토
 거제 기절놀이 및 학교폭력,기타
 일회용품 사용 정부 차원 제도 개선 절실,안전_환경
 가족 이병 전역,외교_통일_국방
 경기도 광주시 벌 에코 타운 주택조합,교통_건축_국토
 세 아들 상태,육아_교육
 의료사 고로 장애 묘 제 고양이 사연 유통 기한 지난 약물 적발 동물병원 대한 처벌,반려동물
 위탁 강력 처벌,육아_교육
 주휴수당 폐지,일자리
 중국 자본 진도 투자 차이나타운 건설 반대,교통_건축_국토
 하남시 신도시 지정 백년 온 삶 터전 보전 개발 상생 방안 집단 주거지 정철회,교통_건축_국토
 노선 정차 역 시기 과천 인덕원,교통_건축_국토
 타미플루 부작용 해결 방법,보건복지
 타미플루 의사 처방 시 꼭 약 부작용 고지,안전_환경
 소통 불통 강원랜드 태곤 사장 해임,인권_성평등
 편의점 직원 방치 경찰 처벌,인권_성평등
 팝 드라마 등 한국 영상 모두 유튜브 넷플릭스 구글 세계 한류 인터넷 허브 만듭시,성장동력
 문재인 대통령 한라 그룹 계열 부당 내부 거래 과거 이명박 창조 컨설팅 계 만도 금속노조 파괴 공작 영진 횡령 한라 홀딩스 의 만도 현금 자산 빼 직원 과금 가로 등 조사 지금 주식회사 만도 꿈 직원 회사,경제민주화
 에너지 전환 위 전력 산업 구조 개편 종합 전력 공기업 사 경쟁 체제 도입,안전_환경
 세종시 의원 월 정수 인상 반대,행정
 거가대교 통행료 인하,교통_건축_국토
 공대 전문가 안전 달성 경제,정치개혁
 데블 스 지원 세금 환수 청원,문화_예술_체육_언론
 전남 진도 중국 도시 건설 중단,교통_건축_국토
 카카오 카풀 반대 여의도 여성 분 단식 읍니,교통_건축_국토
 성차별 건강 적용 대상 개선,보건복지
 교육 기관 미세먼지 관리 의무,육아_교육
 마을 병원 산 보람 병원,보건복지
 여성부 다문화 지원 확대 철회 여성부 업무 계획 한국인 차별 정책 반대,행정
 임신 중단 색출,인권_성평등
 둥이 아가 출생신고,육아_교육
 아스콘 공장 증설 반대,농산어촌
 서울 외곽순환 고속도로 명칭 변경 반대,행정
 데블 스 의 지역 전략 산업 특 과제 지원 사업 원금 회수 청원,기타
 경찰 지원 대한 군 미필 지원 반대,정치개혁
 주휴수당 제도 폐지 청원,일자리
 김현미 국토교통부 장관 해임 청원,교통_건축_국토
 국가 웹하드 구글 검색 국산 야동 몰카 검경 로비 증언 대한 공포 의혹 질문 응답,안전_환경
 부산 아이 가치,육아_교육
 넥쏘 급발진 사고 죽 뻔 이번 계란 바위 치기,교통_건축_국토
 맞벌이 가정 초등 현실,육아_교육
 내부고발자 신분 보호 법 개정,인권_성평등
 남성혐오 유튜버 데블 스 국비 원 지원 환수,인권_성평등
 국군 장병 죽음 이제 때,외교_통일_국방
 지방 경제 부산 조정 지역 즉각 해제,교통_건축_국토
 주차 문제 이웃 끼리 사건,일자리
 소상 공인 자영 업자,정치개혁
 청담 노선 우회 노선 변경 촉구,교통_건축_국토
 백두대간 청정 지역 경북 상주시 모동면 덕 곡리 솔뫼 마을 대규모 태양광 발전소 결사 반대,농산어촌
 왜,보건복지
 청원 헌법 평등권 원칙 위배 여성폭력 방지법 폐기 청원,인권_성평등
 내년 세 유치원 학급 증설,육아_교육
 관세청 양파 수입 기준 가격 적용 양파 농사,농산어촌
 법적 조치 반려동물 법 반려견 가족 물건 생명,반려동물
 주휴수당 은 최저임금 편법 인상 이제 모두 판이,일자리
 주휴수당 폐지 대법원 판례 무시 정부 왜,일자리
 주휴수당,기타
 성수 수제 동안 적폐 청산 대통령 청원 수제 보조금 사업 사업 건설 업체 말,일자리
 생애 최초 주택 구입 취득세 왜 신혼부부,교통_건축_국토
 주휴수당 등 주 제도 폐지,기타
 안전 위해,안전_환경
 분업 한약 공부 단체 참여 결정 재고,보건복지
 바위 개혁,정치개혁
 아이돌 봄 서비스 이용자 이상인 경우 휴게 시간 시정,육아_교육
 이수역 성희롱 및 무고 범죄 사건 제대로 조사,인권_성평등
 중소 공인 소득 증대 위 일자리 창 제안,일자리
 요양원 요양 곳 허가 난 노인 감옥 저승 위탁 소,저출산_고령화대책
 주휴수당 반대,일자리
 남양주 어린이집 지원 보육 교사 파견 사업 중단 정부 방향 것 민주당 소속 남양주 시장 반응 판단 지금 정부 내 판단 것 궁금 청원 번호 내용 대한 사실 정안,육아_교육
 면역 항암제 도입,보건복지
 학교폭력 피해자 교감 선생님 전학 가라,육아_교육
 조정 대상 지역 지정 제대로,교통_건축_국토
 윤상 병 보훈 대상자 지정,외교_통일_국방
